,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9765,70953,2017,0.0,107,일본,전체관람가,멜로/로맨스,나카니시 켄지,0,0,0,0,0,0,0
9766,70954,2018,0.0,98,독일,전체관람가,코미디,팀 트라게저,0,1,1,0,1,0,0
9767,70955,2018,0.0,4,미국,미정,애니메이션,브루노 시몽이스,0,0,0,0,0,0,0
9768,70956,2018,0.0,88,미국,미정,다큐멘터리,모건 캡스,0,0,0,0,0,0,0
9769,70957,2018,0.0,87,미국,12세이상관람가,코미디,다바 위세넌트,0,0,0,0,0,0,0
9770,70958,2017,0.0,100,덴마크,미정,드라마,밀라드 알라미,0,0,0,0,0,0,0
9771,70960,2018,0.0,113,인도네시아,청소년관람불가,스릴러,록키 소라야,1,0,0,0,0,0,0
9772,70961,2018,0.0,67,미국,전체관람가,다큐멘터리,없음,0,0,0,0,0,0,0
9773,70962,2013,0.0,101,미국,청소년관람불가,스릴러,제임스 네일러,0,1,1,0,1,0,1
9774,70963,2012,0.0,19,한국,일본,12세이상관람가,양익준,0,0,0,0,1,0,0
9775,70964,2017,33.33,104,캐나다,12세이상관람가,드라마,어니 바바라쉬,1,0,0,0,0,0,0
9776,70965,2018,0.0,118,말레이시아,15세이상관람가,액션,카비르 바티아,1,0,0,0,0,0,0
9777,70967,2016,0.0,94,홍콩,15세이상관람가,드라마,진지발,0,0,0,0,0,0,0
9778,70968,2017,0.0,94,한국,태국,15세이상관람가,김헌,0,0,0,0,1,0,0
9779,70969,2018,0.0,116,미국,청소년관람불가,액션,디렉터 X.,0,0,1,0,0,0,1
9780,70971,2013,76.92,110,일본,12세이상관람가,애니메이션,카메가키 하지메,0,0,0,0,0,0,0
9781,70974,2012,0.0,96,미국,15세이상관람가,드라마,라이언 리틀,0,0,0,0,0,0,1
9782,70975,2012,0.0,91,미국,미정,드라마,아이삭 플로렌틴,0,0,0,0,0,0,0
9783,70976,2014,0.0,94,미국,청소년관람불가,코미디,댄 비어스,0,0,1,0,1,0,0
9784,70977,2018,0.0,94,호주,15세이상관람가,SF,마이클 밀러,0,0,1,0,1,0,1
9785,70979,2016,0.0,102,미국,15세이상관람가,액션,아트 카마초,0,0,1,0,0,0,0
9786,70980,2017,0.0,91,미국,청소년관람불가,스릴러,패트리시오 바야다레스,0,1,0,0,1,0,1
9787,70981,2018,0.0,85,미국,15세이상관람가,액션,요크 샤클톤,0,0,0,0,0,0,0
9788,70982,2016,0.0,80,미국,15세이상관람가,드라마,코스모스 킨다리우스,0,0,0,0,1,0,1
9789,70983,2016,0.0,92,호주,15세이상관람가,스릴러,코스타 니코스,0,0,1,0,1,0,1
9790,70984,2016,0.0,84,중국,15세이상관람가,드라마,아감,0,1,1,0,0,0,1
9791,70985,2018,84.44,102,미국,칠레,15세이상관람가,세바스찬 렐리오,0,0,0,0,1,0,0
9792,70986,2019,53.85,101,일본,12세이상관람가,드라마,츠키카와 쇼,0,1,0,0,0,0,0
9793,70987,2018,73.91,89,미국,전체관람가,다큐멘터리,시드니 폴락,0,0,0,0,0,0,0
9794,70988,2018,91.79,132,미국,영국,스페인,아담 맥케이,1,1,0,0,0,0,0
9795,70989,2016,0.0,92,미국,청소년관람불가,드라마,마크 워터스,0,0,1,0,0,0,0
9796,70990,2019,58.33,132,미국,12세이상관람가,액션,데이비드 F. 샌드버그,0,0,0,0,0,0,1
9797,70991,2018,59.26,104,미국,영국,12세이상관람가,앤디 서키스,1,0,0,0,0,0,0
9798,70992,2017,66.67,23,한국,12세이상관람가,멜로/로맨스,이다연,0,1,1,0,1,0,1
9799,70994,2016,0.0,79,폴란드,전체관람가,어드벤처(모험),마리우스 팔리지,0,0,1,0,0,0,0
