,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver,name,time_unit
9017,98135,2016,0.0,108,영국,청소년관람불가,스릴러,후앙 카를로스 메디나,0,0,1,0,0,0,0,더 라임하우스 골렘,1
9018,98136,2021,76.92,81,미국,청소년관람불가,액션,광 일 한,1,0,0,0,0,0,0,위쳐: 늑대의 악몽,1
9019,98147,2017,0.0,121,중국,12세이상관람가,,장애가,0,0,0,0,1,0,1,상애상친 : 여자 이야기,2
9020,98148,2021,0.0,95,한국,12세이상관람가,드라마,이수성,0,0,1,0,1,0,0,남편이 필요해?,1
9021,98149,2019,0.0,84,미국,15세이상관람가,스릴러,아람 라파포트,0,0,1,0,1,0,0,컨스피러시,1
9022,98151,2021,0.0,85,중국,12세이상관람가,액션,야오 루이,0,0,1,0,1,0,0,황비홍: 무신임세영,1
9023,98169,2021,89.66,158,미국,15세이상관람가,드라마,리들리 스콧,0,0,0,0,0,0,1,하우스 오브 구찌,2
9024,98173,2020,72.73,99,영국,전체관람가,다큐멘터리,없음,0,0,0,0,1,0,0,리버풀 FC: 엔드 오브 스톰,1
9025,98191,2018,0.0,134,일본,15세이상관람가,드라마,후지이 미치히토,0,1,0,0,0,0,1,데이 앤 나잇,2
9026,98196,2021,0.0,107,한국,12세이상관람가,드라마,민채연,0,1,1,0,1,0,0,사랑인가 바,1
9027,98198,2021,0.0,96,일본,15세이상관람가,액션,아라이 카즈토,0,1,0,0,1,0,0,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘;,1
9028,98204,2020,0.0,115,일본,전체관람가,드라마,후지이 미치히토,0,0,1,0,1,0,0,우주에서 가장 밝은 지붕,1
9029,98234,2021,80.0,96,미국,전체관람가,,커크 드 미코,1,0,0,0,0,0,0,비보의 살아있는 모험,1
9030,98236,2021,0.0,89,영국,12세이상관람가,,샘 홉킨슨,1,0,0,0,0,0,0,미샤와 늑대들,1
9031,98260,2016,0.0,18,한국,전체관람가,애니메이션,박혜미,0,0,0,0,1,0,0,허수아비 섬,0
9032,98307,2016,0.0,2,한국,전체관람가,애니메이션,김윤경,0,0,0,0,1,0,0,가자! 허PD-나도 양보하고 싶어,0
9033,98311,2016,0.0,0,한국,미정,애니메이션,김윤경,0,0,0,0,1,0,0,가자! 허PD-노래방은 즐거워,0
9034,98313,2016,0.0,2,한국,전체관람가,애니메이션,김윤경,0,0,0,0,1,0,0,가자! 허PD-두근두근 첫 출근,0
9035,98314,2018,0.0,5,한국,전체관람가,애니메이션,송민주,0,0,0,0,1,0,0,눈물을 파는 가게,0
9036,98315,2016,0.0,2,한국,전체관람가,애니메이션,김윤경,0,0,0,0,1,0,0,가자! 허PD-마감이야,0
9037,98319,2016,0.0,3,한국,전체관람가,애니메이션,김윤경,0,0,0,0,1,0,0,가자! 허PD-방송국PD의 내습,0
9038,98320,2016,0.0,2,한국,전체관람가,애니메이션,김윤경,0,0,0,0,1,0,0,가자! 허PD-아 기다리고 기다리던 월급날,0
9039,98322,2020,0.0,83,미국,15세이상관람가,다큐멘터리,제임스 어스킨,0,1,1,0,1,0,0,히로시마: 원폭 75년 후,1
9040,98325,2019,0.0,85,미국,15세이상관람가,전쟁,제프 치빗코빅,0,1,1,0,1,0,0,비밀 무기 천재들: 팀 스컹크 웍스,1
9041,98326,2015,0.0,43,미국,15세이상관람가,다큐멘터리,없음,0,1,0,0,1,0,0,알카트래즈: 탈출에 성공한 3인조,0
9042,98328,2015,0.0,85,미국,15세이상관람가,다큐멘터리,벤 크루거,0,1,1,0,1,0,0,천재의 뇌구조: 아인슈타인,1
9043,98336,2020,0.0,102,미국,15세이상관람가,드라마,미셸 모워,0,0,1,0,1,0,0,마이 네버 리스트,1
9044,98344,2019,0.0,80,미국,전체관람가,다큐멘터리,루이 슈월츠버그,1,0,0,0,0,0,0,환상의 버섯,1
9045,98346,2020,0.0,115,러시아,15세이상관람가,스릴러,아르세니 서킨,0,1,1,0,1,0,0,슈퍼딥,1
9046,98347,2018,0.0,87,미국,청소년관람불가,스릴러,더스틴 페어뱅크스,0,0,1,0,1,0,0,워닝 쇼트: 아이 엠 마더,1
9047,98349,2020,0.0,87,중국,12세이상관람가,액션,부귀,0,1,0,0,0,0,1,일루셔니스트,1
9048,98350,2020,0.0,86,미국,청소년관람불가,스릴러,브루스 윔플,0,0,0,0,1,0,1,몬스터 : 어둠 속의 살인,1
9049,98351,2018,0.0,0,미국,미정,범죄,크리스토프 왈츠,0,0,0,0,0,0,1,조지타운,0
9050,98358,2021,71.43,77,한국,12세이상관람가,멜로/로맨스,김민근,0,1,0,0,0,0,1,영화의 거리,1
9051,98359,2020,0.0,93,태국,12세이상관람가,코미디,위라칫 통찔라,1,0,0,0,0,0,0,내 사랑 싸가지,1
9052,98360,2020,44.44,123,영국,미정,없음,마그누스 마르텐스,1,0,0,0,0,0,0,SAS 특수부대: 라이즈 오브 블랙 스완,2
9053,98365,2021,58.33,88,미국,15세이상관람가,코미디,마크 워터스,1,0,0,0,0,0,0,히즈 올 댓,1
9054,98366,2021,42.11,106,미국,청소년관람불가,액션,세딕 니콜라스 트로얀,1,0,0,0,0,0,0,케이트,1
9055,98369,2020,0.0,114,나이지리아,청소년관람불가,코미디,카요데 카섬,1,0,0,0,0,0,0,쾀스 머니,1
9056,98398,2014,0.0,29,한국,15세이상관람가,애니메이션,이성강,0,0,0,0,1,0,0,악심,0
9057,98399,2012,0.0,7,한국,12세이상관람가,애니메이션,고영초,0,0,0,0,1,0,0,내 방 안의 나나,0
9058,98400,2012,0.0,6,한국,전체관람가,애니메이션,송민아,0,0,0,0,1,0,0,두더지와 새,0
9059,98403,2016,0.0,11,한국,12세이상관람가,애니메이션,최은영,0,0,0,0,1,0,0,악마와 함께한 내 생의 마지막 일주일,0
9060,98406,2018,0.0,2,한국,12세이상관람가,애니메이션,구은회,0,0,0,0,1,0,0,원숭이 열차,0
9061,98407,2018,0.0,4,한국,전체관람가,애니메이션,천여진,0,0,0,0,1,0,0,섹시레이스,0
9062,98416,2019,0.0,77,한국,12세이상관람가,드라마,정승민,0,0,1,0,1,0,0,캐논볼,1
9063,98420,2020,0.0,79,중국,15세이상관람가,액션,장우,0,0,1,0,1,0,0,적인걸 2021: 분천이화,1
9064,98438,2021,0.0,100,한국,미정,드라마,최종태,0,1,1,0,1,0,1,사제로부터 온 편지,1
9065,98440,2019,0.0,123,미국,15세이상관람가,액션,리처드 그레이,0,1,0,0,0,0,1,브레이브 하트2,2
9066,98451,2018,0.0,123,일본,전체관람가,드라마,야마다 요지,0,0,1,0,1,0,0,가족은 괴로워3: 아내여 장미처럼,2
9067,98452,2021,0.0,80,미국,15세이상관람가,액션,켄 쳉,0,0,1,0,0,0,0,리벤지 오브 인사이트,1
9068,98455,2020,0.0,102,이탈리아,15세이상관람가,액션,페데리코 알로토,0,0,1,0,1,0,0,코드 카림,1
